pokedex_id,name,genus,generation,type_1,type_2,num_types,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,ability_1,ability_2,hidden_ability,color,shape,habitat,growth_rate,egg_groups,is_legendary,is_mythical,is_baby,capture_rate,base_happiness,hatch_counter,gender_rate,description,sprite_url,is_dual_type,bmi,attack_defense_ratio,physical_total,special_total,offensive_total,defensive_total,gender_distribution,stat_tier
151,mew,New Species Pokémon,I,psychic,,1,100,100,100,100,100,100,600,0.4,4.0,270,synchronize,,,pink,upright,rare,medium-slow,no-eggs,False,True,False,45,100,120,-1,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,False,25.0,1.0,200,200,300,300,Genderless,Legendary/Pseudo (600+)
152,chikorita,Leaf Pokémon,II,grass,,1,45,49,65,49,65,45,318,0.9,6.4,64,overgrow,,leaf-guard,green,quadruped,grassland,medium-slow,"monster, plant",False,False,False,45,70,20,1,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,False,7.9,0.75,114,114,143,175,88% Male / 12% Female,Below Average (300-399)
153,bayleef,Leaf Pokémon,II,grass,,1,60,62,80,63,80,60,405,1.2,15.8,142,overgrow,,leaf-guard,green,quadruped,grassland,medium-slow,"monster, plant",False,False,False,45,70,20,1,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,False,11.0,0.78,142,143,185,220,88% Male / 12% Female,Average (400-499)
154,meganium,Herb Pokémon,II,grass,,1,80,82,100,83,100,80,525,1.8,100.5,236,overgrow,,leaf-guard,green,quadruped,grassland,medium-slow,"monster, plant",False,False,False,45,70,20,1,The aroma that rises from its petals contains a substance that calms aggressive feelings.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,False,31.0,0.82,182,183,245,280,88% Male / 12% Female,Strong (500-599)
155,cyndaquil,Fire Mouse Pokémon,II,fire,,1,39,52,43,60,50,65,309,0.5,7.9,62,blaze,,flash-fire,yellow,humanoid,grassland,medium-slow,ground,False,False,False,45,70,20,1,"It has a timid nature. If it is startled, the flames on its back burn more vigorously.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,False,31.6,1.21,95,110,177,132,88% Male / 12% Female,Below Average (300-399)
156,quilava,Volcano Pokémon,II,fire,,1,58,64,58,80,65,80,405,0.9,19.0,142,blaze,,flash-fire,yellow,quadruped,grassland,medium-slow,ground,False,False,False,45,70,20,1,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,False,23.5,1.1,122,145,224,181,88% Male / 12% Female,Average (400-499)
157,typhlosion,Volcano Pokémon,II,fire,,1,78,84,78,109,85,100,534,1.7,79.5,240,blaze,,flash-fire,yellow,quadruped,grassland,medium-slow,ground,False,False,False,45,70,20,1,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,False,27.5,1.08,162,194,293,241,88% Male / 12% Female,Strong (500-599)
158,totodile,Big Jaw Pokémon,II,water,,1,50,65,64,44,48,43,314,0.6,9.5,63,torrent,,sheer-force,blue,upright,waters-edge,medium-slow,"monster, water1",False,False,False,45,70,20,1,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,False,26.4,1.02,129,92,152,162,88% Male / 12% Female,Below Average (300-399)
159,croconaw,Big Jaw Pokémon,II,water,,1,65,80,80,59,63,58,405,1.1,25.0,142,torrent,,sheer-force,blue,upright,waters-edge,medium-slow,"monster, water1",False,False,False,45,70,20,1,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,False,20.7,1.0,160,122,197,208,88% Male / 12% Female,Average (400-499)
160,feraligatr,Big Jaw Pokémon,II,water,,1,85,105,100,79,83,78,530,2.3,88.8,239,torrent,,sheer-force,blue,upright,waters-edge,medium-slow,"monster, water1",False,False,False,45,70,20,1,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,False,16.8,1.05,205,162,262,268,88% Male / 12% Female,Strong (500-599)
161,sentret,Scout Pokémon,II,normal,,1,35,46,34,35,45,20,215,0.8,6.0,43,run-away,keen-eye,frisk,brown,quadruped,grassland,medium,ground,False,False,False,255,70,15,4,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,False,9.4,1.35,80,80,101,114,50% Male / 50% Female,Weak (<300)
162,furret,Long Body Pokémon,II,normal,,1,85,76,64,45,55,90,415,1.8,32.5,145,run-away,keen-eye,frisk,brown,quadruped,grassland,medium,ground,False,False,False,90,70,15,4,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,False,10.0,1.19,140,100,211,204,50% Male / 50% Female,Average (400-499)
163,hoothoot,Owl Pokémon,II,normal,flying,2,60,30,30,36,56,50,262,0.7,21.2,52,insomnia,keen-eye,tinted-lens,brown,wings,forest,medium,flying,False,False,False,255,70,15,4,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,True,43.3,1.0,60,92,116,146,50% Male / 50% Female,Weak (<300)
164,noctowl,Owl Pokémon,II,normal,flying,2,100,50,50,86,96,70,452,1.6,40.8,158,insomnia,keen-eye,tinted-lens,brown,wings,forest,medium,flying,False,False,False,90,70,15,4,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,True,15.9,1.0,100,182,206,246,50% Male / 50% Female,Average (400-499)
165,ledyba,Five Star Pokémon,II,bug,flying,2,40,20,30,40,80,55,265,1.0,10.8,53,swarm,early-bird,rattled,red,wings,forest,fast,bug,False,False,False,255,70,15,4,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,True,10.8,0.67,50,120,115,150,50% Male / 50% Female,Weak (<300)
166,ledian,Five Star Pokémon,II,bug,flying,2,55,35,50,55,110,85,390,1.4,35.6,137,swarm,early-bird,iron-fist,red,wings,forest,fast,bug,False,False,False,90,70,15,4,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,True,18.2,0.7,85,165,175,215,50% Male / 50% Female,Below Average (300-399)
167,spinarak,String Spit Pokémon,II,bug,poison,2,40,60,40,40,40,30,250,0.5,8.5,50,swarm,insomnia,sniper,green,armor,forest,fast,bug,False,False,False,255,70,15,4,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,True,34.0,1.5,100,80,130,120,50% Male / 50% Female,Weak (<300)
168,ariados,Long Leg Pokémon,II,bug,poison,2,70,90,70,60,70,40,400,1.1,33.5,140,swarm,insomnia,sniper,red,armor,forest,fast,bug,False,False,False,90,70,15,4,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,True,27.7,1.29,160,130,190,210,50% Male / 50% Female,Average (400-499)
169,crobat,Bat Pokémon,II,poison,flying,2,85,90,80,70,80,130,535,1.8,75.0,241,inner-focus,,infiltrator,purple,bug-wings,cave,medium,flying,False,False,False,90,70,15,4,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,True,23.1,1.12,170,150,290,245,50% Male / 50% Female,Strong (500-599)
170,chinchou,Angler Pokémon,II,water,electric,2,75,38,38,56,56,67,330,0.5,12.0,66,volt-absorb,illuminate,water-absorb,blue,fish,sea,slow,water2,False,False,False,190,70,20,4,Chinchou blink their shining antennae at one another to claim their respective turf.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,True,48.0,1.0,76,112,161,169,50% Male / 50% Female,Below Average (300-399)
171,lanturn,Light Pokémon,II,water,electric,2,125,58,58,76,76,67,460,1.2,22.5,161,volt-absorb,illuminate,water-absorb,blue,fish,sea,slow,water2,False,False,False,75,70,20,4,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,True,15.6,1.0,116,152,201,259,50% Male / 50% Female,Average (400-499)
172,pichu,Tiny Mouse Pokémon,II,electric,,1,20,40,15,35,35,60,205,0.3,2.0,41,static,,lightning-rod,yellow,quadruped,forest,medium,no-eggs,False,False,True,190,70,10,4,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,False,22.2,2.67,55,70,135,70,50% Male / 50% Female,Weak (<300)
173,cleffa,Star Shape Pokémon,II,fairy,,1,50,25,28,45,55,15,218,0.3,3.0,44,cute-charm,magic-guard,friend-guard,pink,upright,mountain,fast,no-eggs,False,False,True,150,140,10,6,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,False,33.3,0.89,53,100,85,133,25% Male / 75% Female,Weak (<300)
174,igglybuff,Balloon Pokémon,II,normal,fairy,2,90,30,15,40,20,15,210,0.3,1.0,42,cute-charm,competitive,friend-guard,pink,humanoid,grassland,fast,no-eggs,False,False,True,170,70,10,6,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,True,11.1,2.0,45,60,85,125,25% Male / 75% Female,Weak (<300)
175,togepi,Spike Ball Pokémon,II,fairy,,1,35,20,65,40,65,20,245,0.3,1.5,49,hustle,serene-grace,super-luck,white,humanoid,forest,fast,no-eggs,False,False,True,190,70,10,1,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,False,16.7,0.31,85,105,80,165,88% Male / 12% Female,Weak (<300)
176,togetic,Happiness Pokémon,II,fairy,flying,2,55,40,85,80,105,40,405,0.6,3.2,142,hustle,serene-grace,super-luck,white,humanoid,forest,fast,"flying, fairy",False,False,False,75,70,10,1,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,True,8.9,0.47,125,185,160,245,88% Male / 12% Female,Average (400-499)
177,natu,Tiny Bird Pokémon,II,psychic,flying,2,40,50,45,70,45,70,320,0.2,2.0,64,synchronize,early-bird,magic-bounce,green,wings,forest,medium,flying,False,False,False,190,70,20,4,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,True,50.0,1.11,95,115,190,130,50% Male / 50% Female,Below Average (300-399)
178,xatu,Mystic Pokémon,II,psychic,flying,2,65,75,70,95,70,95,470,1.5,15.0,165,synchronize,early-bird,magic-bounce,green,wings,forest,medium,flying,False,False,False,75,70,20,4,They say that it stays still and quiet because it is seeing both the past and future at the same time.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,True,6.7,1.07,145,165,265,205,50% Male / 50% Female,Average (400-499)
179,mareep,Wool Pokémon,II,electric,,1,55,40,40,65,45,35,280,0.6,7.8,56,static,,plus,white,quadruped,grassland,medium-slow,"monster, ground",False,False,False,235,70,20,4,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,False,21.7,1.0,80,110,140,140,50% Male / 50% Female,Weak (<300)
180,flaaffy,Wool Pokémon,II,electric,,1,70,55,55,80,60,45,365,0.8,13.3,128,static,,plus,pink,upright,grassland,medium-slow,"monster, ground",False,False,False,120,70,20,4,"As a result of storing too much electricity, it developed patches where even downy wool won't grow.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,False,20.8,1.0,110,140,180,185,50% Male / 50% Female,Below Average (300-399)
181,ampharos,Light Pokémon,II,electric,,1,90,75,85,115,90,55,510,1.4,61.5,230,static,,plus,yellow,upright,grassland,medium-slow,"monster, ground",False,False,False,45,70,20,4,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,False,31.4,0.88,160,205,245,265,50% Male / 50% Female,Strong (500-599)
182,bellossom,Flower Pokémon,II,grass,,1,75,80,95,90,100,50,490,0.4,5.8,221,chlorophyll,,healer,green,humanoid,grassland,medium-slow,plant,False,False,False,45,70,20,4,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,False,36.2,0.84,175,190,220,270,50% Male / 50% Female,Average (400-499)
183,marill,Aqua Mouse Pokémon,II,water,fairy,2,70,20,50,20,50,40,250,0.4,8.5,88,thick-fat,huge-power,sap-sipper,blue,upright,waters-edge,fast,"water1, fairy",False,False,False,190,70,10,4,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,True,53.1,0.4,70,70,80,170,50% Male / 50% Female,Weak (<300)
184,azumarill,Aqua Rabbit Pokémon,II,water,fairy,2,100,50,80,60,80,50,420,0.8,28.5,189,thick-fat,huge-power,sap-sipper,blue,upright,waters-edge,fast,"water1, fairy",False,False,False,75,70,10,4,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,True,44.5,0.62,130,140,160,260,50% Male / 50% Female,Average (400-499)
185,sudowoodo,Imitation Pokémon,II,rock,,1,70,100,115,30,65,30,410,1.2,38.0,144,sturdy,rock-head,rattled,brown,humanoid,forest,medium,mineral,False,False,False,65,70,20,4,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,False,26.4,0.87,215,95,160,250,50% Male / 50% Female,Average (400-499)
186,politoed,Frog Pokémon,II,water,,1,90,75,75,90,100,70,500,1.1,33.9,225,water-absorb,damp,drizzle,green,humanoid,waters-edge,medium-slow,water1,False,False,False,45,70,20,4,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,False,28.0,1.0,150,190,235,265,50% Male / 50% Female,Strong (500-599)
187,hoppip,Cottonweed Pokémon,II,grass,flying,2,35,35,40,35,55,50,250,0.4,0.5,50,chlorophyll,leaf-guard,infiltrator,pink,upright,grassland,medium-slow,"fairy, plant",False,False,False,255,70,20,4,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,True,3.1,0.88,75,90,120,130,50% Male / 50% Female,Weak (<300)
188,skiploom,Cottonweed Pokémon,II,grass,flying,2,55,45,50,45,65,80,340,0.6,1.0,119,chlorophyll,leaf-guard,infiltrator,green,upright,grassland,medium-slow,"fairy, plant",False,False,False,120,70,20,4,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,True,2.8,0.9,95,110,170,170,50% Male / 50% Female,Below Average (300-399)
189,jumpluff,Cottonweed Pokémon,II,grass,flying,2,75,55,70,55,95,110,460,0.8,3.0,207,chlorophyll,leaf-guard,infiltrator,blue,upright,grassland,medium-slow,"fairy, plant",False,False,False,45,70,20,4,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,True,4.7,0.79,125,150,220,240,50% Male / 50% Female,Average (400-499)
190,aipom,Long Tail Pokémon,II,normal,,1,55,70,55,40,55,85,360,0.8,11.5,72,run-away,pickup,skill-link,purple,upright,forest,fast,ground,False,False,False,45,70,20,4,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,False,18.0,1.27,125,95,195,165,50% Male / 50% Female,Below Average (300-399)
191,sunkern,Seed Pokémon,II,grass,,1,30,30,30,30,30,30,180,0.3,1.8,36,chlorophyll,solar-power,early-bird,yellow,ball,grassland,medium-slow,plant,False,False,False,235,70,20,4,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,False,20.0,1.0,60,60,90,90,50% Male / 50% Female,Weak (<300)
192,sunflora,Sun Pokémon,II,grass,,1,75,75,55,105,85,30,425,0.8,8.5,149,chlorophyll,solar-power,early-bird,yellow,humanoid,grassland,medium-slow,plant,False,False,False,120,70,20,4,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,False,13.3,1.36,130,190,210,215,50% Male / 50% Female,Average (400-499)
193,yanma,Clear Wing Pokémon,II,bug,flying,2,65,65,45,75,45,95,390,1.2,38.0,78,speed-boost,compound-eyes,frisk,red,bug-wings,forest,medium,bug,False,False,False,75,70,20,4,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,True,26.4,1.44,110,120,235,155,50% Male / 50% Female,Below Average (300-399)
194,wooper,Water Fish Pokémon,II,water,ground,2,55,45,45,25,25,15,210,0.4,8.5,42,damp,water-absorb,unaware,blue,legs,waters-edge,medium,"water1, ground",False,False,False,255,70,20,4,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,True,53.1,1.0,90,50,85,125,50% Male / 50% Female,Weak (<300)
195,quagsire,Water Fish Pokémon,II,water,ground,2,95,85,85,65,65,35,430,1.4,75.0,151,damp,water-absorb,unaware,blue,upright,waters-edge,medium,"water1, ground",False,False,False,90,70,20,4,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,True,38.3,1.0,170,130,185,245,50% Male / 50% Female,Average (400-499)
196,espeon,Sun Pokémon,II,psychic,,1,65,65,60,130,95,110,525,0.9,26.5,184,synchronize,,magic-bounce,purple,quadruped,urban,medium,ground,False,False,False,45,70,35,1,It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,False,32.7,1.08,125,225,305,220,88% Male / 12% Female,Strong (500-599)
197,umbreon,Moonlight Pokémon,II,dark,,1,95,65,110,60,130,65,525,1.0,27.0,184,synchronize,,inner-focus,black,quadruped,urban,medium,ground,False,False,False,45,35,35,1,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,False,27.0,0.59,175,190,190,335,88% Male / 12% Female,Strong (500-599)
198,murkrow,Darkness Pokémon,II,dark,flying,2,60,85,42,85,42,91,405,0.5,2.1,81,insomnia,super-luck,prankster,black,wings,forest,medium-slow,flying,False,False,False,30,35,20,4,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,True,8.4,2.02,127,127,261,144,50% Male / 50% Female,Average (400-499)
199,slowking,Royal Pokémon,II,water,psychic,2,95,75,80,100,110,30,490,2.0,79.5,172,oblivious,own-tempo,regenerator,pink,upright,waters-edge,medium,"monster, water1",False,False,False,70,70,20,4,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,True,19.9,0.94,155,210,205,285,50% Male / 50% Female,Average (400-499)
200,misdreavus,Screech Pokémon,II,ghost,,1,60,60,60,85,85,85,435,0.7,1.0,87,levitate,,,gray,ball,cave,fast,indeterminate,False,False,False,45,35,25,4,It likes playing mischievous tricks such as screaming and wailing to startle people at night.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,False,2.0,1.0,120,170,230,205,50% Male / 50% Female,Average (400-499)
201,unown,Symbol Pokémon,II,psychic,,1,48,72,48,72,48,48,336,0.5,5.0,118,levitate,,,black,ball,rare,medium,no-eggs,False,False,False,225,70,40,-1,Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,False,20.0,1.5,120,120,192,144,Genderless,Below Average (300-399)
202,wobbuffet,Patient Pokémon,II,psychic,,1,190,33,58,33,58,33,405,1.3,28.5,142,shadow-tag,,telepathy,blue,blob,cave,medium,indeterminate,False,False,False,45,70,20,4,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,False,16.9,0.57,91,91,99,306,50% Male / 50% Female,Average (400-499)
203,girafarig,Long Neck Pokémon,II,normal,psychic,2,70,80,65,90,65,85,455,1.5,41.5,159,inner-focus,early-bird,sap-sipper,yellow,quadruped,grassland,medium,ground,False,False,False,60,70,20,4,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,True,18.4,1.23,145,155,255,200,50% Male / 50% Female,Average (400-499)
204,pineco,Bagworm Pokémon,II,bug,,1,50,65,90,35,35,15,290,0.6,7.2,58,sturdy,,overcoat,gray,ball,forest,medium,bug,False,False,False,190,70,20,4,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,False,20.0,0.72,155,70,115,175,50% Male / 50% Female,Weak (<300)
205,forretress,Bagworm Pokémon,II,bug,steel,2,75,90,140,60,60,40,465,1.2,125.8,163,sturdy,,overcoat,purple,ball,forest,medium,bug,False,False,False,75,70,20,4,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,True,87.4,0.64,230,120,190,275,50% Male / 50% Female,Average (400-499)
206,dunsparce,Land Snake Pokémon,II,normal,,1,100,70,70,65,65,45,415,1.5,14.0,145,serene-grace,run-away,rattled,yellow,squiggle,cave,medium,ground,False,False,False,190,70,20,4,"When spotted, this POKéMON escapes backward by furi­ ously boring into the ground with its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png,False,6.2,1.0,140,130,180,235,50% Male / 50% Female,Average (400-499)
207,gligar,Fly Scorpion Pokémon,II,ground,flying,2,65,75,105,35,65,85,430,1.1,64.8,86,hyper-cutter,sand-veil,immunity,purple,wings,mountain,medium-slow,bug,False,False,False,60,70,20,4,It flies straight at its target's face then clamps down on the star­ tled victim to inject poison.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png,True,53.6,0.71,180,100,195,235,50% Male / 50% Female,Average (400-499)
208,steelix,Iron Snake Pokémon,II,steel,ground,2,75,85,200,55,65,30,510,9.2,400.0,179,rock-head,sturdy,sheer-force,gray,squiggle,cave,medium,mineral,False,False,False,25,70,25,4,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png,True,4.7,0.42,285,120,170,340,50% Male / 50% Female,Strong (500-599)
209,snubbull,Fairy Pokémon,II,fairy,,1,60,80,50,40,40,30,300,0.6,7.8,60,intimidate,run-away,rattled,pink,humanoid,urban,fast,"ground, fairy",False,False,False,190,70,20,6,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png,False,21.7,1.6,130,80,150,150,25% Male / 75% Female,Below Average (300-399)
210,granbull,Fairy Pokémon,II,fairy,,1,90,120,75,60,60,45,450,1.4,48.7,158,intimidate,quick-feet,rattled,purple,upright,urban,fast,"ground, fairy",False,False,False,75,70,20,6,"It is actually timid and easily spooked. If at­ tacked, it flails about to fend off its attacker.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,False,24.8,1.6,195,120,225,225,25% Male / 75% Female,Average (400-499)
211,qwilfish,Balloon Pokémon,II,water,poison,2,65,95,85,55,55,85,440,0.5,3.9,88,poison-point,swift-swim,intimidate,gray,fish,sea,medium,water2,False,False,False,45,70,20,4,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png,True,15.6,1.12,180,110,235,205,50% Male / 50% Female,Average (400-499)
212,scizor,Pincer Pokémon,II,bug,steel,2,70,130,100,55,80,65,500,1.8,118.0,175,swarm,technician,light-metal,red,bug-wings,grassland,medium,bug,False,False,False,25,70,25,4,It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png,True,36.4,1.3,230,135,250,250,50% Male / 50% Female,Strong (500-599)
213,shuckle,Mold Pokémon,II,bug,rock,2,20,10,230,10,230,5,505,0.6,20.5,177,sturdy,gluttony,contrary,yellow,armor,mountain,medium-slow,bug,False,False,False,190,70,20,4,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png,True,56.9,0.04,240,240,25,480,50% Male / 50% Female,Strong (500-599)
214,heracross,Single Horn Pokémon,II,bug,fighting,2,80,125,75,40,95,85,500,1.5,54.0,175,swarm,guts,moxie,blue,humanoid,forest,slow,bug,False,False,False,45,70,25,4,"It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png,True,24.0,1.67,200,135,250,250,50% Male / 50% Female,Strong (500-599)
215,sneasel,Sharp Claw Pokémon,II,dark,ice,2,55,95,55,35,75,115,430,0.9,28.0,86,inner-focus,keen-eye,pickpocket,black,upright,forest,medium-slow,ground,False,False,False,60,35,20,4,"Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png,True,34.6,1.73,150,110,245,185,50% Male / 50% Female,Average (400-499)
